Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Lufttrykk i havnivå
Sirdal - Sinnes;SN42940;10.06.2021 01:00;11,8;1017,2
Sirdal - Sinnes;SN42940;10.06.2021 02:00;11,6;1017
Sirdal - Sinnes;SN42940;10.06.2021 03:00;11,5;1016,8
Sirdal - Sinnes;SN42940;10.06.2021 04:00;11,4;1016,8
Sirdal - Sinnes;SN42940;10.06.2021 05:00;11,3;1017
Sirdal - Sinnes;SN42940;10.06.2021 06:00;11,3;1017,2
Sirdal - Sinnes;SN42940;10.06.2021 07:00;12;1017
Sirdal - Sinnes;SN42940;10.06.2021 08:00;12,2;1017
Sirdal - Sinnes;SN42940;10.06.2021 09:00;13,4;1017
Sirdal - Sinnes;SN42940;10.06.2021 10:00;14,3;1016,6
Sirdal - Sinnes;SN42940;10.06.2021 11:00;15,1;1016,4
Sirdal - Sinnes;SN42940;10.06.2021 12:00;14,4;1017
Sirdal - Sinnes;SN42940;10.06.2021 13:00;13,7;1017,2
Sirdal - Sinnes;SN42940;10.06.2021 14:00;13,7;1017,3
Sirdal - Sinnes;SN42940;10.06.2021 15:00;15;1016,7
Sirdal - Sinnes;SN42940;10.06.2021 16:00;16,8;1015,9
Sirdal - Sinnes;SN42940;10.06.2021 17:00;17,2;1015,4
Sirdal - Sinnes;SN42940;10.06.2021 18:00;16,5;1015,3
Sirdal - Sinnes;SN42940;10.06.2021 19:00;16,6;1015
Sirdal - Sinnes;SN42940;10.06.2021 20:00;16,2;1014,8
Sirdal - Sinnes;SN42940;10.06.2021 21:00;15,2;1015,1
Sirdal - Sinnes;SN42940;10.06.2021 22:00;14,3;1015,1
Sirdal - Sinnes;SN42940;10.06.2021 23:00;14;1015,1
Sirdal - Sinnes;SN42940;11.06.2021 00:00;14;1014,7
Sirdal - Sinnes;SN42940;11.06.2021 01:00;13,6;1014,1
Sirdal - Sinnes;SN42940;11.06.2021 02:00;13,3;1013,9
Sirdal - Sinnes;SN42940;11.06.2021 03:00;12,7;1013,8
Sirdal - Sinnes;SN42940;11.06.2021 04:00;12,7;1013,3
Sirdal - Sinnes;SN42940;11.06.2021 05:00;12,6;1013,1
Sirdal - Sinnes;SN42940;11.06.2021 06:00;12,5;1012,5
Sirdal - Sinnes;SN42940;11.06.2021 07:00;12,9;1011,9
Sirdal - Sinnes;SN42940;11.06.2021 08:00;12,7;1011,9
Sirdal - Sinnes;SN42940;11.06.2021 09:00;13;1011,2
Sirdal - Sinnes;SN42940;11.06.2021 10:00;12,9;1011,3
Sirdal - Sinnes;SN42940;11.06.2021 11:00;13,6;1010,6
Sirdal - Sinnes;SN42940;11.06.2021 12:00;14,1;1010,3
Sirdal - Sinnes;SN42940;11.06.2021 13:00;14,1;1010,1
Sirdal - Sinnes;SN42940;11.06.2021 14:00;14;1009,8
Sirdal - Sinnes;SN42940;11.06.2021 15:00;14,1;1008,7
Sirdal - Sinnes;SN42940;11.06.2021 16:00;13,8;1008,6
Sirdal - Sinnes;SN42940;11.06.2021 17:00;13,1;1008,7
Sirdal - Sinnes;SN42940;11.06.2021 18:00;13,4;1008,4
Sirdal - Sinnes;SN42940;11.06.2021 19:00;12,7;1008,4
Sirdal - Sinnes;SN42940;11.06.2021 20:00;11,8;1008,1
Sirdal - Sinnes;SN42940;11.06.2021 21:00;11,5;1007,9
Sirdal - Sinnes;SN42940;11.06.2021 22:00;11,2;1008,1
Sirdal - Sinnes;SN42940;11.06.2021 23:00;10,5;1008,2
Sirdal - Sinnes;SN42940;12.06.2021 00:00;10;1008,3
Sirdal - Sinnes;SN42940;12.06.2021 01:00;9,6;1008,6
Sirdal - Sinnes;SN42940;12.06.2021 02:00;8;1009,6
Sirdal - Sinnes;SN42940;12.06.2021 03:00;7,8;1009,5
Sirdal - Sinnes;SN42940;12.06.2021 04:00;7,7;1009,6
Sirdal - Sinnes;SN42940;12.06.2021 05:00;7,6;1009,8
Sirdal - Sinnes;SN42940;12.06.2021 06:00;7,2;1010,1
Sirdal - Sinnes;SN42940;12.06.2021 07:00;7,6;1010,1
Sirdal - Sinnes;SN42940;12.06.2021 08:00;8,1;1010,5
Sirdal - Sinnes;SN42940;12.06.2021 09:00;8;1010,8
Sirdal - Sinnes;SN42940;12.06.2021 10:00;8,5;1010,9
Sirdal - Sinnes;SN42940;12.06.2021 11:00;9,2;1011
Sirdal - Sinnes;SN42940;12.06.2021 12:00;8,2;1011,8
Sirdal - Sinnes;SN42940;12.06.2021 13:00;10,1;1011,7
Sirdal - Sinnes;SN42940;12.06.2021 14:00;9,2;1012,1
Sirdal - Sinnes;SN42940;12.06.2021 15:00;9,3;1012,4
Sirdal - Sinnes;SN42940;12.06.2021 16:00;8,8;1013
Sirdal - Sinnes;SN42940;12.06.2021 17:00;8,2;1013,6
Sirdal - Sinnes;SN42940;12.06.2021 18:00;8,5;1013,7
Sirdal - Sinnes;SN42940;12.06.2021 19:00;8,2;1014,1
Sirdal - Sinnes;SN42940;12.06.2021 20:00;7,7;1014,9
Sirdal - Sinnes;SN42940;12.06.2021 21:00;7,3;1015,5
Sirdal - Sinnes;SN42940;12.06.2021 22:00;7,1;1016,3
Sirdal - Sinnes;SN42940;12.06.2021 23:00;7;1016,6
Sirdal - Sinnes;SN42940;13.06.2021 00:00;7,1;1017,2
Sirdal - Sinnes;SN42940;13.06.2021 01:00;7,1;1017,6
Sirdal - Sinnes;SN42940;13.06.2021 02:00;7;1018,2
Sirdal - Sinnes;SN42940;13.06.2021 03:00;7;1018,8
Sirdal - Sinnes;SN42940;13.06.2021 04:00;6,7;1019,2
Sirdal - Sinnes;SN42940;13.06.2021 05:00;6,7;1019,6
Sirdal - Sinnes;SN42940;13.06.2021 06:00;7,1;1019,8
Sirdal - Sinnes;SN42940;13.06.2021 07:00;7,6;1020,5
Sirdal - Sinnes;SN42940;13.06.2021 08:00;8,2;1020,8
Sirdal - Sinnes;SN42940;13.06.2021 09:00;10;1020,6
Sirdal - Sinnes;SN42940;13.06.2021 10:00;10,6;1020,9
Sirdal - Sinnes;SN42940;13.06.2021 11:00;10,7;1021
Sirdal - Sinnes;SN42940;13.06.2021 12:00;11,4;1020,6
Sirdal - Sinnes;SN42940;13.06.2021 13:00;12,8;1020,1
Sirdal - Sinnes;SN42940;13.06.2021 14:00;12,9;1020,3
Sirdal - Sinnes;SN42940;13.06.2021 15:00;11,7;1020,8
Sirdal - Sinnes;SN42940;13.06.2021 16:00;11,4;1020,7
Sirdal - Sinnes;SN42940;13.06.2021 17:00;10,4;1020,5
Sirdal - Sinnes;SN42940;13.06.2021 18:00;9,6;1020,4
Sirdal - Sinnes;SN42940;13.06.2021 19:00;9,5;1020,4
Sirdal - Sinnes;SN42940;13.06.2021 20:00;9,7;1019,6
Sirdal - Sinnes;SN42940;13.06.2021 21:00;9,8;1019,2
Sirdal - Sinnes;SN42940;13.06.2021 22:00;10;1018,6
Sirdal - Sinnes;SN42940;13.06.2021 23:00;10,2;1018
Sirdal - Sinnes;SN42940;14.06.2021 00:00;10,5;1017,5
Sauda;SN46610;10.06.2021 01:00;14,9;1017,1
Sauda;SN46610;10.06.2021 02:00;13,9;1017
Sauda;SN46610;10.06.2021 03:00;13,9;1016,7
Sauda;SN46610;10.06.2021 04:00;13,8;1016,8
Sauda;SN46610;10.06.2021 05:00;13,6;1016,8
Sauda;SN46610;10.06.2021 06:00;13,5;1016,9
Sauda;SN46610;10.06.2021 07:00;13,2;1017
Sauda;SN46610;10.06.2021 08:00;13,4;1016,9
Sauda;SN46610;10.06.2021 09:00;13,7;1017
Sauda;SN46610;10.06.2021 10:00;13,7;1016,8
Sauda;SN46610;10.06.2021 11:00;14,6;1016,9
Sauda;SN46610;10.06.2021 12:00;14,7;1016,8
Sauda;SN46610;10.06.2021 13:00;14,7;1016,9
Sauda;SN46610;10.06.2021 14:00;14,9;1016,9
Sauda;SN46610;10.06.2021 15:00;15,5;1016,7
Sauda;SN46610;10.06.2021 16:00;16,5;1016,7
Sauda;SN46610;10.06.2021 17:00;15,4;1016,2
Sauda;SN46610;10.06.2021 18:00;15,9;1015,8
Sauda;SN46610;10.06.2021 19:00;16;1015,7
Sauda;SN46610;10.06.2021 20:00;16,1;1015,3
Sauda;SN46610;10.06.2021 21:00;15,6;1015,1
Sauda;SN46610;10.06.2021 22:00;15,4;1014,8
Sauda;SN46610;10.06.2021 23:00;15,3;1014,4
Sauda;SN46610;11.06.2021 00:00;15,5;1013,7
Sauda;SN46610;11.06.2021 01:00;15,2;1013,4
Sauda;SN46610;11.06.2021 02:00;15,2;1013,2
Sauda;SN46610;11.06.2021 03:00;15,9;1012,7
Sauda;SN46610;11.06.2021 04:00;15,8;1012,5
Sauda;SN46610;11.06.2021 05:00;15,4;1012
Sauda;SN46610;11.06.2021 06:00;15;1011,2
Sauda;SN46610;11.06.2021 07:00;15;1011
Sauda;SN46610;11.06.2021 08:00;14,7;1010,6
Sauda;SN46610;11.06.2021 09:00;14,5;1010
Sauda;SN46610;11.06.2021 10:00;15,5;1009,6
Sauda;SN46610;11.06.2021 11:00;15,4;1009,6
Sauda;SN46610;11.06.2021 12:00;15,8;1009,4
Sauda;SN46610;11.06.2021 13:00;17;1009,4
Sauda;SN46610;11.06.2021 14:00;15,9;1008,7
Sauda;SN46610;11.06.2021 15:00;15,8;1008,3
Sauda;SN46610;11.06.2021 16:00;16;1008,4
Sauda;SN46610;11.06.2021 17:00;15,8;1008,5
Sauda;SN46610;11.06.2021 18:00;15,7;1008
Sauda;SN46610;11.06.2021 19:00;15,3;1007,7
Sauda;SN46610;11.06.2021 20:00;15,1;1007,9
Sauda;SN46610;11.06.2021 21:00;14,3;1007,8
Sauda;SN46610;11.06.2021 22:00;13,9;1008,3
Sauda;SN46610;11.06.2021 23:00;13,2;1008,3
Sauda;SN46610;12.06.2021 00:00;13,5;1008,6
Sauda;SN46610;12.06.2021 01:00;12,3;1009,5
Sauda;SN46610;12.06.2021 02:00;11,6;1009,7
Sauda;SN46610;12.06.2021 03:00;11,5;1009,9
Sauda;SN46610;12.06.2021 04:00;11,1;1009,8
Sauda;SN46610;12.06.2021 05:00;10,4;1010,1
Sauda;SN46610;12.06.2021 06:00;11,1;1010,3
Sauda;SN46610;12.06.2021 07:00;11,5;1010,3
Sauda;SN46610;12.06.2021 08:00;11,5;1010,9
Sauda;SN46610;12.06.2021 09:00;11,4;1011,1
Sauda;SN46610;12.06.2021 10:00;13,2;1011,3
Sauda;SN46610;12.06.2021 11:00;12,8;1011,5
Sauda;SN46610;12.06.2021 12:00;13,4;1011,8
Sauda;SN46610;12.06.2021 13:00;12,5;1012,3
Sauda;SN46610;12.06.2021 14:00;12,4;1012,6
Sauda;SN46610;12.06.2021 15:00;13,8;1013,1
Sauda;SN46610;12.06.2021 16:00;13;1013,5
Sauda;SN46610;12.06.2021 17:00;12,5;1013,7
Sauda;SN46610;12.06.2021 18:00;12,5;1014,4
Sauda;SN46610;12.06.2021 19:00;11,9;1014,9
Sauda;SN46610;12.06.2021 20:00;12;1015,5
Sauda;SN46610;12.06.2021 21:00;11,4;1016
Sauda;SN46610;12.06.2021 22:00;9,8;1016,7
Sauda;SN46610;12.06.2021 23:00;9,9;1017,2
Sauda;SN46610;13.06.2021 00:00;9,9;1017,8
Sauda;SN46610;13.06.2021 01:00;9,9;1018,4
Sauda;SN46610;13.06.2021 02:00;9,6;1019,1
Sauda;SN46610;13.06.2021 03:00;9,1;1019,4
Sauda;SN46610;13.06.2021 04:00;8,9;1019,8
Sauda;SN46610;13.06.2021 05:00;9,2;1020,2
Sauda;SN46610;13.06.2021 06:00;9,7;1020,3
Sauda;SN46610;13.06.2021 07:00;10,6;1020,7
Sauda;SN46610;13.06.2021 08:00;13,2;1020,7
Sauda;SN46610;13.06.2021 09:00;13,1;1020,9
Sauda;SN46610;13.06.2021 10:00;12,7;1021,2
Sauda;SN46610;13.06.2021 11:00;12,9;1021,4
Sauda;SN46610;13.06.2021 12:00;12,9;1021,4
Sauda;SN46610;13.06.2021 13:00;13;1021,7
Sauda;SN46610;13.06.2021 14:00;12,3;1021,8
Sauda;SN46610;13.06.2021 15:00;11,6;1021,6
Sauda;SN46610;13.06.2021 16:00;11,7;1021,2
Sauda;SN46610;13.06.2021 17:00;11,5;1020,6
Sauda;SN46610;13.06.2021 18:00;11,4;1020,1
Sauda;SN46610;13.06.2021 19:00;11,4;1019,8
Sauda;SN46610;13.06.2021 20:00;11,2;1019,1
Sauda;SN46610;13.06.2021 21:00;11,1;1018,6
Sauda;SN46610;13.06.2021 22:00;11,1;1018
Sauda;SN46610;13.06.2021 23:00;10,8;1017,3
Sauda;SN46610;14.06.2021 00:00;10,9;1016,6
Data er gyldig per 01.10.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;;
