Dato og tid;Tid siden start (sek);Trykk - barometer (bar);Trykk - absolutt trykk maaler (bar);Temperatur (gr Celsius)
06.11.2021 14:23;0;101,03;100,452;17,18
06.11.2021 14:23;10;;100,478;17,1
06.11.2021 14:23;20;;100,467;17,08
06.11.2021 14:23;30;;100,439;16,96
06.11.2021 14:23;40;;100,461;17,08
06.11.2021 14:23;50;;100,445;17,09
06.11.2021 14:24;60;101,04;100,465;17,12
06.11.2021 14:24;70;;100,458;17,19
06.11.2021 14:24;80;;100,452;17,11
06.11.2021 14:24;90;;100,454;17,05
06.11.2021 14:24;100;;100,478;17,1
06.11.2021 14:24;110;;100,456;17,12
06.11.2021 14:25;120;101,05;100,478;17,22
06.11.2021 14:25;130;;100,474;17,24
06.11.2021 14:25;140;;100,454;17,17
06.11.2021 14:25;150;;100,474;17,16
06.11.2021 14:25;160;;100,454;17,29
06.11.2021 14:25;170;;100,458;17,18
06.11.2021 14:26;180;101,04;100,483;17,09
06.11.2021 14:26;190;;100,463;17,03
06.11.2021 14:26;200;;100,456;17,1
06.11.2021 14:26;210;;100,454;17,05
06.11.2021 14:26;220;;100,474;17,01
06.11.2021 14:26;230;;100,465;16,92
06.11.2021 14:27;240;101,05;100,472;16,87
06.11.2021 14:27;250;;100,443;16,91
06.11.2021 14:27;260;;100,498;17,07
06.11.2021 14:27;270;;100,445;17,14
06.11.2021 14:27;280;;100,474;17,2
06.11.2021 14:27;290;;100,502;17,29
06.11.2021 14:28;300;101,05;100,485;17,38
06.11.2021 14:28;310;;100,463;17,29
06.11.2021 14:28;320;;100,421;17,32
06.11.2021 14:28;330;;100,441;17,32
06.11.2021 14:28;340;;100,472;17,26
06.11.2021 14:28;350;;100,465;17,39
06.11.2021 14:29;360;101,05;100,476;17,41
06.11.2021 14:29;370;;100,474;17,32
06.11.2021 14:29;380;;100,456;17,06
06.11.2021 14:29;390;;100,467;17,02
06.11.2021 14:29;400;;100,463;17,07
06.11.2021 14:29;410;;100,48;17,17
06.11.2021 14:30;420;101,04;100,463;17,23
06.11.2021 14:30;430;;100,465;17,06
06.11.2021 14:30;440;;100,443;17,07
06.11.2021 14:30;450;;100,485;17,24
06.11.2021 14:30;460;;100,458;17,34
06.11.2021 14:30;470;;100,48;17,3
06.11.2021 14:31;480;101,04;100,434;17,6
06.11.2021 14:31;490;;100,489;17,74
06.11.2021 14:31;500;;100,452;17,73
06.11.2021 14:31;510;;100,434;17,82
06.11.2021 14:31;520;;100,472;17,57
06.11.2021 14:31;530;;100,461;17,76
06.11.2021 14:32;540;101,04;100,487;17,76
06.11.2021 14:32;550;;100,445;17,74
06.11.2021 14:32;560;;100,48;17,65
06.11.2021 14:32;570;;100,445;17,67
06.11.2021 14:32;580;;100,478;17,84
06.11.2021 14:32;590;;100,456;17,78
06.11.2021 14:33;600;101,04;100,456;17,77
06.11.2021 14:33;610;;100,472;17,88
06.11.2021 14:33;620;;100,45;17,81
06.11.2021 14:33;630;;100,487;17,42
06.11.2021 14:33;640;;100,487;17,48
06.11.2021 14:33;650;;100,487;17,44
06.11.2021 14:34;660;101,04;100,511;17,38
06.11.2021 14:34;670;;100,426;17,23
06.11.2021 14:34;680;;100,476;17,18
06.11.2021 14:34;690;;100,443;17,32
06.11.2021 14:34;700;;100,45;17,32
06.11.2021 14:34;710;;100,467;17,42
06.11.2021 14:35;720;101,03;100,465;17,3
06.11.2021 14:35;730;;100,461;17,49
06.11.2021 14:35;740;;100,465;17,53
06.11.2021 14:35;750;;100,458;17,7
06.11.2021 14:35;760;;100,434;17,63
06.11.2021 14:35;770;;100,476;17,69
06.11.2021 14:36;780;101,02;100,452;17,59
06.11.2021 14:36;790;;100,465;17,64
06.11.2021 14:36;800;;100,467;17,83
06.11.2021 14:36;810;;100,445;17,97
06.11.2021 14:36;820;;100,456;17,88
06.11.2021 14:36;830;;100,441;17,83
06.11.2021 14:37;840;101,02;100,465;17,86
06.11.2021 14:37;850;;100,463;17,79
06.11.2021 14:37;860;;100,452;17,67
06.11.2021 14:37;870;;100,45;17,43
06.11.2021 14:37;880;;100,463;17,21
06.11.2021 14:37;890;;100,456;17,37
06.11.2021 14:38;900;101,02;100,465;17,57
06.11.2021 14:38;910;;100,419;17,54
06.11.2021 14:38;920;;100,469;17,63
06.11.2021 14:38;930;;100,463;17,62
06.11.2021 14:38;940;;100,465;17,54
06.11.2021 14:38;950;;100,467;17,57
06.11.2021 14:39;960;101,02;100,465;17,46
06.11.2021 14:39;970;;100,467;17,3
06.11.2021 14:39;980;;100,439;17,29
06.11.2021 14:39;990;;100,45;17,22
06.11.2021 14:39;1000;;100,448;17,31
06.11.2021 14:39;1010;;100,454;17,18
06.11.2021 14:40;1020;101,02;100,434;17,19
06.11.2021 14:40;1030;;100,441;17,34
06.11.2021 14:40;1040;;100,452;17,35
06.11.2021 14:40;1050;;100,439;17,31
06.11.2021 14:40;1060;;100,432;17,39
06.11.2021 14:40;1070;;100,445;17,35
06.11.2021 14:41;1080;101,02;100,402;17,39
06.11.2021 14:41;1090;;100,48;17,27
06.11.2021 14:41;1100;;100,448;17,36
06.11.2021 14:41;1110;;100,437;17,43
06.11.2021 14:41;1120;;100,458;17,57
06.11.2021 14:41;1130;;100,483;17,53
06.11.2021 14:42;1140;101,02;100,476;17,46
06.11.2021 14:42;1150;;100,426;17,26
06.11.2021 14:42;1160;;100,426;17,15
06.11.2021 14:42;1170;;100,419;17,13
06.11.2021 14:42;1180;;100,434;17,3
06.11.2021 14:42;1190;;100,432;17,27
06.11.2021 14:43;1200;101,01;100,41;17,34
06.11.2021 14:43;1210;;100,413;17,53
06.11.2021 14:43;1220;;100,458;17,62
06.11.2021 14:43;1230;;100,432;17,58
06.11.2021 14:43;1240;;100,456;17,42
06.11.2021 14:43;1250;;100,408;17,41
06.11.2021 14:44;1260;101,01;100,43;17,5
06.11.2021 14:44;1270;;100,393;17,43
06.11.2021 14:44;1280;;100,441;17,37
06.11.2021 14:44;1290;;100,45;17,32
06.11.2021 14:44;1300;;100,419;17,2
06.11.2021 14:44;1310;;100,397;17,25
06.11.2021 14:45;1320;101;100,41;17,38
06.11.2021 14:45;1330;;100,419;17,38
06.11.2021 14:45;1340;;100,43;17,45
